A1;A4;A7;A10;A14;A17;A20;A23;A26;A29;A32;A35;A38;A41
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Micrite;;;;;;;;;
Micrite;;;;;;;;;;;;;
Micrite;;;;;;Micrite;;;;;;;
Micrite;;;;;;?;;;;Micrite;;;
Micrite;;;;;;Micrite;;;;Micrite;;;
;;;;;;Sparite;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;Brachiopod;
;;;;;;;;;;;;Micrite;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;Crinoid;;;;;;;;
;;;;;Micrite;;;;;;;;
;;;;;Micrite;;;;;;;;
;;;;;Micrite;;;;;;;;
;;;;;Micrite;;;;;;;;
;;;Micrite;;Brachiopod;;;;;;;;
;;;Micrite;;;;;;Micrite;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;0;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;Micrite;;;;;
;;;;;;;;Micrite;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;Sparite;;
;;Micrite;;;;;;;;Micrite;Crinoid;;
;;Micrite;;;;;;;;0;Crinoid;;
Micrite;;Micrite;;Micrite;;;;;;Micrite;;;
Micrite;;Micrite;;Echinoderm;;Micrite;;;;Micrite;;;
Micrite;;Micrite;;Trilobite;;Micrite;;;;Micrite;;;
Micrite;;;;Micrite;;Micrite;;;;Micrite;;;
Micrite;;;;Micrite;;Micrite;;;;Micrite;;;Bryozoan
Micrite;;;;Micrite;;Echinoderm;;;;Micrite;;;Bryozoan
Micrite;;;;;;Micrite;;;;0;;;0
Micrite;;;;;;Micrite;;;;Micrite;;;Micrite
Micrite;;;;;;Micrite;;;;Micrite;;Sparite;Micrite
Micrite;;;;;;Micrite;;;;Micrite;;Brachiopod;
Micrite;;;;;;Micrite;Sparite;;;;;0;0
;;;;;Micrite;Micrite;Sparite;;;;;;Micrite
0;;;;;Micrite;Echinoderm;Micrite;;;;;;
Micrite;;;;;Micrite;;Micrite;;;;;;Stromatoporoid
Micrite;;;;;0;;Micrite;;;;;;
;;;;;Micrite;;Micrite;;Micrite;;;;
;;;;;Micrite;;;;Micrite;;;;
;;;;;Crinoid;;;;Micrite;;;;
;;;;;Micrite;;;;Micrite;;;;
;Micrite;;Micrite;;Micrite;;;;Micrite;;;;
;Micrite;;0;;Micrite;;;;Micrite;;;;
;Micrite;;Micrite;;Micrite;;;;Bivalve;;;;
;Micrite;;Micrite;;Micrite;;;;Micrite;;;;
;Micrite;;Micrite;;Micrite;;;;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;;;;;;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;;;;;Stromatoporoid
