B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;Micrite;;;;;;;
;;;;;;;;;;
;?;;;;;;;;;
;Sparite;;;;;;;;;
;Sparite;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;?;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;Crinoid;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;Micrite;;;
;;;;;;;Micrite;;Bryozoan;
;;;;;;;Micrite;;Bryozoan;
Micrite;;;;;;;Micrite;;Bryozoan;
Micrite;;;;;;;;;Bryozoan;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;Sparite;;;;;;;
;;;Micrite;Crinoid;;;;;;
;?;;Sparite;Micrite;;;;Tabulate Coral;;
;Brachiopod;;Micrite;Micrite;;;;;;Crinoid
;Sparite;;Sparite;Bryozoan;;;;;;
;Crinoid;;Bryozoan;Crinoid;;;;;;
;?;;;Micrite;;;;;;
;Crinoid;;;Crinoid;;;;;;
;;;;Micrite;Microbe_Oncoid;Micrite;;;;
;;;;Bryozoan;Microbe_Oncoid;Micrite;;?;;
;;;;Micrite;?;;;?;;
;;;;Micrite;Micrite;;;;;
;;;;Crinoid;;;;;;
;Sparite;;;Crinoid;;;;;;
;Sparite;;;Crinoid;;;;;;
;Rostroconch;;;Micrite;;;Micrite;;;
;Micrite;;;Bryozoan;;;Micrite;;;
;;;;Brachiopod;;;Micrite;;;
;;;;?;;;Micrite;;Microbe;
;;;;Crinoid;;;Micrite;;Bryozoan;
;;;;Bryozoan;;;Micrite;;Bryozoan;
Micrite;;;;Bryozoan;;;Micrite;;Bryozoan;
Tabulate Coral;;;;Brachiopod;;;Brachiopod;;Bryozoan;
Micrite;;;;Micrite;;;Brachiopod;;Bryozoan;
?;;;;;;;Micrite;;Microbe;
Micrite;;;;;;;;;Microbe;
Sparite;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;Micrite;;;;;;;
;Rugose Coral;;Micrite;Crinoid;;;;;;
;Micrite;;Micrite;Sparite;;;;Tabulate Coral;;
;Crinoid;;Micrite;Sparite;;;;Tabulate Coral;;Crinoid
;Crinoid;;Micrite;Bryozoan;;;;Micrite;;Crinoid
;Sparite;;Micrite;Micrite;;;;Microbe;;Micrite
;Sparite;;Bryozoan;Sparite;;Brachiopod;;Bryozoan;;Micrite
