"Sample_ID";"Height_cm";"Delta13C";"Sum";"Tab_Coral";"non_Tab_Coral";"Rug_Coral";"non_Rug_Coral";"Strom";"non_Strom";"Spo";"non_Spo";"Bry";"non_Bry";"Mic";"non_Mic";"Ech";"non_Ech";"Brach";"non_Brach";"Problem";"non_Problem";"Moll";"non_Moll";"Tri";"non_Tri";"Ost";"non_Ost";"Alg";"non_Alg";"Tas";"non_Tas";"Micrite";"non_Micrite";"Spar";"non_Spar";"Pyr";"non_Pyr";"Org";"non_Org";"non_Identified";"Identified"
"A1";0;0;641;0;641;0;641;0;641;0;641;3;638;0;641;31;610;4;637;0;641;6;635;0;641;0;641;0;641;0;641;570;71;3;638;0;641;0;641;24;617
"A4";0;0;824;0;824;0;824;0;824;0;824;4;820;0;824;11;813;0;824;0;824;1;823;0;824;0;824;0;824;0;824;762;62;7;817;0;824;0;824;39;785
"A7";0;0;656;0;656;0;656;0;656;0;656;6;650;0;656;31;625;9;647;0;656;2;654;1;655;0;656;0;656;0;656;552;104;10;646;10;646;0;656;35;621
"A10";0;0;1132;0;1132;0;1132;0;1132;0;1132;13;1119;0;1132;36;1096;11;1121;0;1132;4;1128;9;1123;5;1127;0;1132;0;1132;995;137;2;1130;0;1132;2;1130;55;1077
"A14";0;0;389;0;389;0;389;0;389;0;389;1;388;0;389;25;364;3;386;0;389;6;383;3;386;2;387;0;389;0;389;329;60;3;386;0;389;0;389;17;372
"A17";0;0;874;53;821;0;874;0;874;0;874;10;864;21;853;29;845;24;850;0;874;23;851;8;866;1;873;10;864;0;874;658;216;8;866;0;874;0;874;29;845
"A20";0;0;703;0;703;0;703;0;703;0;703;38;665;0;703;19;684;55;648;0;703;6;697;5;698;2;701;0;703;0;703;516;187;13;690;0;703;3;700;46;657
"A23";0;0;725;0;725;0;725;0;725;0;725;1;724;0;725;1;724;0;725;0;725;35;690;0;725;0;725;0;725;0;725;675;50;4;721;1;724;0;725;8;717
"A26";0;0;937;51;886;0;937;0;937;0;937;4;933;0;937;11;926;3;934;0;937;14;923;1;936;0;937;0;937;0;937;827;110;10;927;0;937;0;937;16;921
"A29";0;0;1121;21;1100;72;1049;3;1118;0;1121;9;1112;0;1121;32;1089;32;1089;1;1120;21;1100;10;1111;2;1119;1;1120;0;1121;846;275;55;1066;1;1120;2;1119;13;1108
"A32";0;0;839;6;833;0;839;0;839;0;839;95;744;0;839;68;771;21;818;1;838;4;835;8;831;5;834;3;836;1;838;461;378;102;737;0;839;2;837;62;777
"A35";0;0;416;0;416;0;416;0;416;0;416;46;370;0;416;83;333;12;404;0;416;0;416;0;416;1;415;0;416;0;416;142;274;69;347;12;404;0;416;51;365
"A38";0;0;646;0;646;0;646;0;646;0;646;68;578;0;646;58;588;11;635;0;646;3;643;2;644;3;643;2;644;0;646;125;521;263;383;3;643;0;646;108;538
"A41";0;0;874;48;826;159;715;44;830;0;874;31;843;15;859;98;776;13;861;0;874;4;870;0;874;1;873;0;874;0;874;380;494;23;851;1;873;0;874;57;817
