"Sample_ID";"Height_cm";"Delta13C";"Sum";"Tab_Coral";"non_Tab_Coral";"Rug_Coral";"non_Rug_Coral";"Strom";"non_Strom";"Spo";"non_Spo";"Bry";"non_Bry";"Mic";"non_Mic";"Ech";"non_Ech";"Brach";"non_Brach";"Problem";"non_Problem";"Moll";"non_Moll";"Tri";"non_Tri";"Ost";"non_Ost";"Alg";"non_Alg";"Tas";"non_Tas";"Micrite";"non_Micrite";"Spar";"non_Spar";"Pyr";"non_Pyr";"Org";"non_Org";"non_Identified";"Identified"
"B1";0;0;571;53;518;0;571;3;568;0;571;17;554;1;570;30;541;41;530;0;571;15;556;8;563;3;568;6;565;0;571;269;302;110;461;1;570;0;571;14;557
"B4";0;0;377;13;364;4;373;0;377;0;377;40;337;13;364;56;321;26;351;0;377;5;372;5;372;0;377;1;376;0;377;80;297;114;263;0;377;0;377;20;357
"B7";0;0;673;38;635;0;673;13;660;0;673;38;635;5;668;93;580;38;635;3;670;20;653;5;668;4;669;0;673;0;673;129;544;237;436;7;666;0;673;43;630
"B10";0;0;453;54;399;0;453;9;444;0;453;36;417;11;442;43;410;20;433;3;450;1;452;3;450;3;450;0;453;0;453;123;330;111;342;0;453;0;453;36;417
"B13";0;0;461;19;442;0;461;0;461;0;461;51;410;7;454;103;358;45;416;3;458;0;461;1;460;1;460;0;461;0;461;184;277;36;425;0;461;0;461;11;450
"B16";0;0;454;102;352;0;454;0;454;0;454;39;415;157;297;14;440;8;446;4;450;0;454;0;454;0;454;0;454;0;454;107;347;11;443;0;454;0;454;12;442
"B19";0;0;393;10;383;0;393;0;393;0;393;44;349;156;237;28;365;36;357;0;393;0;393;0;393;0;393;0;393;0;393;95;298;11;382;0;393;0;393;13;380
"B22";0;0;456;56;400;0;456;179;277;0;456;8;448;119;337;7;449;4;452;3;453;0;456;0;456;0;456;0;456;0;456;65;391;0;456;0;456;0;456;15;441
"B25";0;0;887;16;871;56;831;0;887;20;867;93;794;625;262;5;882;8;879;15;872;1;886;0;887;5;882;0;887;0;887;12;875;12;875;0;887;0;887;19;868
"B28";0;0;1045;199;846;0;1045;0;1045;0;1045;129;916;602;443;6;1039;4;1041;71;974;0;1045;0;1045;0;1045;0;1045;0;1045;3;1042;24;1021;0;1045;0;1045;7;1038
"B31";0;0;576;4;572;0;576;346;230;0;576;13;563;8;568;27;549;5;571;6;570;0;576;0;576;1;575;0;576;0;576;78;498;66;510;0;576;0;576;22;554
