"Sample_ID";"Height_cm";"Delta13C";"Sum";"Corals";"Sponges";"Bryozoans";"Microbes";"Microproblematica";"Green_Algae";"Echinoderms";"Brachiopods";"Molluscs";"Trilobites";"Ostracods";"Total"
"B1";500;3,56;177;0,299435028248588;0,0169491525423729;0,096045197740113;0,00564971751412429;0;0,0338983050847458;0,169491525423729;0,231638418079096;0,0847457627118644;0,0451977401129944;0,0169491525423729;1
"B4";590;4,09;163;0,104294478527607;0;0,245398773006135;0,0797546012269939;0;0,00613496932515337;0,343558282208589;0,159509202453988;0,0306748466257669;0,0306748466257669;0;1
"B7";680;4,17;257;0,147859922178988;0,0505836575875486;0,147859922178988;0,0194552529182879;0,0116731517509728;0;0,361867704280156;0,147859922178988;0,0778210116731518;0,0194552529182879;0,0155642023346304;1
"B10";770;4,62;183;0,295081967213115;0,0491803278688525;0,19672131147541;0,0601092896174863;0,0163934426229508;0;0,234972677595628;0,109289617486339;0,00546448087431694;0,0163934426229508;0,0163934426229508;1
"B13";860;4,63;230;0,0826086956521739;0;0,221739130434783;0,0304347826086957;0,0130434782608696;0;0,447826086956522;0,195652173913043;0;0,00434782608695652;0,00434782608695652;1
"B16";950;4,88;324;0,314814814814815;0;0,12037037037037;0,484567901234568;0,0123456790123457;0;0,0432098765432099;0,0246913580246914;0;0;0;1
"B19";1040;4,83;274;0,0364963503649635;0;0,160583941605839;0,569343065693431;0;0;0,102189781021898;0,131386861313869;0;0;0;1
"B22";1130;4,86;376;0,148936170212766;0,476063829787234;0,0212765957446809;0,316489361702128;0,00797872340425532;0;0,0186170212765957;0,0106382978723404;0;0;0;1
"B25";1220;5,34;844;0,0853080568720379;0,023696682464455;0,110189573459716;0,740521327014218;0,0177725118483412;0;0,00592417061611374;0,00947867298578199;0,00118483412322275;0;0,00592417061611374;1
"B28";1310;5,18;1011;0,196834817012859;0;0,127596439169139;0,595450049455984;0,0702274975272008;0;0,00593471810089021;0,0039564787339268;0;0;0;1
"B31";1400;5,5;410;0,00975609756097561;0,84390243902439;0,0317073170731707;0,0195121951219512;0,0146341463414634;0;0,0658536585365854;0,0121951219512195;0;0;0,0024390243902439;1
